,0,1,2,3,4
,M,P,R,LOSS,ACC
48,1,12,0.4,0.018554987,0.970971867
49,1,15,0.002,0.063286445,0.36713555
50,1,15,0.01,0.04202046,0.684143223
51,1,15,0.05,0.022097187,0.883375959
52,1,15,0.1,0.023533674,0.895098039
53,1,15,0.2,0.023512361,0.921398124
54,1,15,0.3,0.021764706,0.93887468
55,1,15,0.4,0.019722933,0.959292413
56,1,20,0.002,0.063286445,0.36713555
57,1,20,0.01,0.055460358,0.523657289
58,1,20,0.05,0.022097187,0.883375959
59,1,20,0.1,0.021508951,0.889258312
60,1,20,0.2,0.024092072,0.915601023
61,1,20,0.3,0.021764706,0.93887468
62,1,20,0.4,0.019433078,0.962190963
63,2,0.5,0.002,0.063286445,0.36713555
64,2,0.5,0.01,0.039262575,0.685635124
65,2,0.5,0.05,0.02329497,0.897868713
66,2,0.5,0.1,0.02329497,0.897868713
67,2,0.5,0.2,0.021530264,0.915515772
68,2,0.5,0.3,0.020080989,0.930008525
69,2,0.5,0.4,0.021236147,0.944543905
70,2,1,0.002,0.063286445,0.36713555
71,2,1,0.01,0.056227621,0.437723785
72,2,1,0.05,0.027387042,0.857331628
73,2,1,0.1,0.023039216,0.900809889
74,2,1,0.2,0.02213555,0.935933504
75,2,1,0.3,0.02097613,0.947527707
76,2,1,0.4,0.019522592,0.962063086
77,2,2,0.002,0.063286445,0.36713555
78,2,2,0.01,0.054880648,0.451193521
79,2,2,0.05,0.02243393,0.880392157
80,2,2,0.1,0.021845695,0.88627451
81,2,2,0.2,0.021236147,0.918456948
82,2,2,0.3,0.020656436,0.924254049
83,2,2,0.4,0.019207161,0.938746803
84,2,4,0.002,0.063286445,0.36713555
85,2,4,0.01,0.056040068,0.517860188
86,2,4,0.05,0.019198636,0.88627451
87,2,4,0.1,0.021551577,0.889215686
88,2,4,0.2,0.021231884,0.918499574
89,2,4,0.3,0.020068201,0.930136402
90,2,4,0.4,0.017446718,0.956351236
91,2,6,0.002,0.063286445,0.36713555
